undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.479,AFG,8,1282.64,29.82500076293945,8.100000381469727,,3.780280113220215,48.75032043457031
0.83600003,ARE,3,20310.109,,2.5,5.27984094619751,,
0.82599998,ARG,2,15102.61,41.73300170898438,3.0,2.983357429504395,5.32548999786377,88.24600219726562
0.40599999,BDI,4,663.57001,,6.800000190734863,2.595248937606812,5.416419982910156,24.94817924499512
0.48100001,BEN,4,1413.05,10.31999969482422,6.800000190734863,2.39393949508667,4.320680141448975,44.96981811523438
0.39899999,BFA,4,1095.96,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543
0.82300001,BHR,3,22498.48,1.26800000667572,3.5,4.319009780883789,2.467459917068481,88.25039672851562
0.79000002,BHS,10,21672.029,0.3560000061988831,5.0,,,
0.74699998,BIH,1,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.79799998,BLR,1,17780.641,9.468000411987305,3.400000095367432,,4.990439891815186,99.46544647216795
0.671,BOL,2,4023.8701,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125
0.60399997,BTN,8,5639.02,0.765999972820282,6.800000190734863,4.033873081207275,5.924600124359131,62.83831024169922
0.69800001,BWA,4,12770.73,,5.099999904632568,3.523580312728882,,
0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211
0.73400003,CHN,6,9283.3799,,4.599999904632568,4.028250217437744,,
0.514,CMR,4,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
0.42500001,COD,4,324.16,,7.099999904632568,2.957446813583374,2.245349884033203,
0.58999997,COG,4,2369.8401,,6.800000190734863,,,
0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.927239894866943,78.12113952636719
0.773,CUB,2,5899.9399,,5.699999809265137,,,87.48567199707031
0.72399998,DMA,10,12613.72,,,,,86.32093048095703
0.92299998,DNK,5,37406.762,5.626999855041504,1.899999976158142,4.81274938583374,8.62710952758789,89.81745910644531
0.71799999,DOM,2,10376.63,,7.599999904632568,2.636394500732422,,65.45761108398438
0.74299997,DZA,3,5402.1699,39.11399841308594,5.099999904632568,2.977302312850952,,
0.41800001,ERI,4,1007.28,,7.599999904632568,,,28.41555976867676
0.86299998,EST,1,19768.039,1.315999984741211,3.5,4.364778518676758,5.481639862060547,94.39128112792967
0.73400003,FJI,9,3848.72,0.8799999952316284,7.599999904632568,,3.882889986038208,83.38211059570312
0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368164,5.492990016937256,99.44432830810548
0.63700002,FSM,9,2624.05,0.1019999980926514,9.0,,12.46774959564209,
0.90799999,GBR,5,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
0.57499999,GHA,4,2584.6001,,7.599999904632568,3.838903903961182,6.178549766540527,51.05852890014648
0.414,GIN,4,993.83002,11.74499988555908,7.199999809265137,2.425785064697266,3.208169937133789,31.78817939758301
0.86500001,GRC,5,25295.27,10.92700004577637,3.799999952316284,2.999258995056152,,95.0673828125
0.75099999,GRD,10,8314.5596,,8.399999618530273,,,82.3596420288086
0.63800001,GUY,10,2042.8199,0.7559999823570251,9.100000381469728,3.933674573898315,3.19215989112854,82.4810562133789
0.62300003,HND,2,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
0.49000001,HTI,2,1024.9399,,9.300000190734863,2.325876951217651,,
0.68599999,IDN,7,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
0.92000002,IRL,5,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985596,99.57335662841795
0.77399999,IRN,3,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
0.64899999,IRQ,3,4178.2598,32.57799911499023,8.100000381469727,,,
0.898,ISR,3,25926.25,8.211999893188477,,3.719112396240234,5.757269859313965,98.39215850830078
0.88099998,ITA,5,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
0.741,JOR,3,5188.9199,6.675000190734863,3.599999904632568,4.585320949554443,,81.37625122070312
0.79299998,KAZ,1,14098.88,17.42200088500977,3.599999904632568,3.581974983215332,2.787499904632568,95.94628143310548
0.55000001,KEN,4,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
0.662,KGZ,1,3010.24,5.894999980926514,6.400000095367432,2.853689193725586,5.527379989624023,80.17756652832031
0.89899999,KOR,6,33181.891,50.74700164794922,3.5,3.615234136581421,5.052110195159912,96.77686309814452
0.79900002,KWT,3,64342.711,3.999000072479248,3.099999904632568,3.075769186019898,,83.57884979248047
0.42699999,LBR,4,488.26999,,6.599999904632568,3.472222328186035,2.757560014724731,
0.91100001,LIE,5,102243.52,,,,2.556040048599243,91.53871917724608
0.764,LKA,8,5466.8701,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297
0.84600002,LTU,1,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828
0.64499998,MAR,3,3999.5601,33.17900085449219,7.599999904632568,3.170891284942627,,56.14244842529297
,MCO,5,108481.13,,,,1.021950006484985,
0.51099998,MDG,4,822.62,,6.099999904632568,2.968793392181397,2.082040071487427,31.08041000366211
0.75800002,MEX,2,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
0.85299999,MLT,5,24094.641,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562
0.55199999,MMR,7,5733.3701,51.41899871826172,5.699999809265137,2.659119129180908,,48.25643920898438
0.51300001,MRT,4,2223.01,3.36899995803833,6.300000190734863,2.671667814254761,2.93011999130249,23.10231971740723
0.787,MYS,7,12284.27,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
0.52499998,NGA,4,2246.8201,160.3419952392578,7.099999904632568,2.85273027420044,,
0.55500001,NPL,8,1462.08,28.17499923706055,7.0,3.591810703277588,3.981300115585327,59.67913055419922
,NRU,9,3130.47,0.0120000001043081,,,,71.94534301757812
0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019533
0.67900002,PHL,7,3953.1001,100.1490020751953,6.199999809265137,4.54694414138794,,67.44245910644531
0.51499999,PNG,9,1693.54,6.880000114440918,7.099999904632568,,,
0.852,POL,1,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
0.69199997,PRY,2,4812.9199,6.559000015258789,5.199999809265137,2.324439764022827,4.955399990081787,66.45951843261719
0.79799998,ROU,1,14563.14,19.95299911499023,4.5,3.833498477935791,3.129179954528809,83.92993927001953
0.491,SEN,4,1527.99,,7.400000095367432,3.760167360305786,7.396200180053711,
0.514,SLB,9,2113.0601,0.5619999766349792,6.300000190734863,,,
0.43099999,SLE,4,979.95001,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,
0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.058158874511719,4.178609848022461,92.20523071289064
0.565,STP,4,2150.55,,7.900000095367432,,3.7568199634552,64.42681121826172
0.84200001,SVK,1,21776.34,5.415999889373779,4.199999809265137,2.762844562530518,4.238560199737549,
0.88800001,SVN,1,24456.561,2.061000108718872,2.799999952316284,4.07301139831543,5.486589908599854,94.94590759277344
0.90899998,SWE,5,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
0.78100002,SYC,4,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.60644006729126,74.57037353515625
0.55299997,SYR,3,4284.4199,,7.400000095367432,3.24616551399231,,46.6161994934082
0.39399999,TCD,4,1651.05,,8.600000381469727,2.528029441833496,2.849709987640381,
0.484,TGO,4,1036.28,6.928999900817871,7.300000190734863,,4.868460178375244,
0.68800002,TKM,1,13217.39,,5.099999904632568,,3.055900096893311,
0.77899998,TTO,10,22089.16,1.353999972343445,7.5,4.182013988494873,,
0.72299999,TUN,3,6912.2798,,5.5,3.721023797988892,6.250360012054443,
,TUV,9,3174.05,0.0109999999403954,,,,69.80497741699219
,TWN,6,33965.871,23.43400001525879,,3.908831357955933,,
0.74800003,UKR,1,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576904,88.56585693359375
0.79400003,URY,2,12804.84,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281
0.69700003,UZB,1,7370.7202,29.74600028991699,6.300000190734863,,,92.20738220214844
0.76899999,VEN,2,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
0.67799997,VNM,7,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,
0.59799999,VUT,9,2877.01,0.2569999992847443,,,4.910830020904541,49.49629974365234
0.70200002,WSM,9,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984
0.49900001,YEM,3,2170.9299,,7.5,1.896328449249268,,41.72175979614258
0.66500002,ZAF,4,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
